Week_Start,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration,Search_Interest_lag_1,Search_Interest_lag_2,Search_Interest_lag_4,Search_Velocity_lag,Search_Velocity_Lag1,Search_Velocity_Lag2,Search_Acceleration_lag,Search_Interest_roll_mean_4w,Search_Interest_roll_std_4w,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity,Media_Volume_roll_mean_4w,holiday_count,is_holiday,GDP_Per_Capita,Inflation_Rate,Internet_Penetration
2026-08-23,United_Arab_Emirates,Fashion_Beauty,68.56,-3.3599999999999994,-6.349999999999994,71.92,68.93,68.8,2.989999999999995,2.989999999999995,-1.5699999999999932,4.559999999999988,70.03750000000001,1.4737339199014716,170.0,2.13,4.39,2.27,6.66,20.61,0.62,134.0,0.0,1,1,50273.5126243239,1.250865245598,100.0
2026-08-30,United_Arab_Emirates,Fashion_Beauty,68.3,-0.2600000000000051,3.0999999999999943,68.56,71.92,70.5,-3.3599999999999994,-3.3599999999999994,2.989999999999995,-6.349999999999994,69.9775,1.5441151727342626,136.0,0.41,3.71,3.31,7.02,21.02,0.53,92.0,170.0,0,0,50273.5126243239,1.250865245598,100.0
2026-09-06,United_Arab_Emirates,Fashion_Beauty,72.12,3.820000000000008,4.0800000000000125,68.3,68.56,68.93,-0.2600000000000051,-0.2600000000000051,-3.3599999999999994,3.0999999999999943,69.42750000000001,1.681653452211499,141.0,-0.8,3.46,4.26,7.72,20.25,0.43,103.0,153.0,0,0,50273.5126243239,1.250865245598,100.0
2026-09-13,United_Arab_Emirates,Fashion_Beauty,68.44,-3.680000000000007,-7.500000000000014,72.12,68.3,71.92,3.820000000000008,3.820000000000008,-0.2600000000000051,4.0800000000000125,70.225,2.0770090675459687,17.0,3.42,4.96,1.54,6.5,18.26,0.76,14.0,149.0,0,0,50273.5126243239,1.250865245598,100.0
2026-08-30,United_Arab_Emirates,Fitness_Wearables,80.25,-5.260000000000005,-4.3300000000000125,85.51,86.44,88.01,-0.9299999999999926,-0.9299999999999926,-2.769999999999996,1.8400000000000036,87.29249999999999,1.642728928745314,3.0,-4.3,1.5,5.8,7.3,20.75,0.0,3.0,0.0,0,0,50273.5126243239,1.250865245598,100.0
2026-09-06,United_Arab_Emirates,Fitness_Wearables,95.4,15.150000000000006,20.41000000000001,80.25,85.51,89.21,-5.260000000000005,-5.260000000000005,-0.9299999999999926,-4.3300000000000125,85.35249999999999,3.7471444683478174,2.0,5.15,7.01,1.86,8.86,21.35,0.15,2.0,3.0,0,0,50273.5126243239,1.250865245598,100.0
2026-08-23,United_Arab_Emirates,Nutrition_Diets,58.72,-4.950000000000003,-5.780000000000001,63.67,62.84,69.91,0.8299999999999983,0.8299999999999983,-5.22999999999999,6.059999999999988,66.1225,3.4121095625238125,430.0,-0.7,3.71,4.41,8.12,21.1,0.44,255.0,0.0,1,1,50273.5126243239,1.250865245598,100.0
2026-08-30,United_Arab_Emirates,Nutrition_Diets,57.35,-1.3699999999999974,3.5800000000000054,58.72,63.67,68.07,-4.950000000000003,-4.950000000000003,0.8299999999999983,-5.780000000000001,63.325,3.832984042057401,392.0,0.18,3.97,3.8,7.77,21.31,0.42,212.0,430.0,0,0,50273.5126243239,1.250865245598,100.0
2026-09-06,United_Arab_Emirates,Nutrition_Diets,69.15,11.800000000000004,13.170000000000002,57.35,58.72,62.84,-1.3699999999999974,-1.3699999999999974,-4.950000000000003,3.5800000000000054,60.645,3.083899047202032,510.0,-0.63,3.6,4.24,7.84,20.21,0.48,287.0,411.0,0,0,50273.5126243239,1.250865245598,100.0
2026-09-13,United_Arab_Emirates,Nutrition_Diets,64.0,-5.150000000000006,-16.95000000000001,69.15,57.35,63.67,11.800000000000004,11.800000000000004,-1.3699999999999974,13.170000000000002,62.2225,5.357059983485981,41.0,-0.83,3.68,4.51,8.19,21.26,0.62,34.0,444.0,0,0,50273.5126243239,1.250865245598,100.0
