Week_Start,Country_Code,Total_Events,Media_Volume,Total_Sources,Total_Mentions,Avg_Articles_Per_Event,Source_Diversity,Media_Tone,Avg_Goldstein,Root_Event_Count,Positive_Event_Count,Negative_Event_Count
2023-01-01,AE,1233,6453,1246,6581,5.23357664233576,1.0105433901054344,0.14599340121819951,2.954257907542579,820,652,547
2023-01-08,AE,1910,9373,1940,9679,4.9073298429319356,1.015706806282723,1.7724535943675959,2.7764397905759171,1464,1390,436
2023-01-15,AE,2385,12065,2425,12704,5.0587002096436064,1.0167714884696017,1.7655100062589408,2.8065408805031451,1815,1775,550
2023-01-22,AE,1570,8403,1592,8642,5.3522292993630574,1.0140127388535034,0.57795834104301813,2.69203821656051,1150,861,659
2023-01-29,AE,1370,7229,1403,7500,5.2766423357664234,1.024087591240876,1.0905263961633325,3.13102189781022,952,829,496
2023-02-05,AE,1566,8326,1597,8565,5.3167305236270774,1.0197956577266927,0.86687638492449215,3.1478927203065123,1086,970,572
2023-02-12,AE,2088,11114,2134,11461,5.3227969348659014,1.0220306513409958,1.7134299568146294,3.0854885057471262,1635,1516,498
2023-02-19,AE,1613,9212,1646,9378,5.7110973341599491,1.0204587724736514,1.7923755046676804,3.094110353378797,1190,1182,365
2023-02-26,AE,1544,8211,1610,8391,5.3180051813471509,1.0427461139896375,1.2798230369232075,2.948056994818653,1116,1063,445
2023-03-05,AE,1534,8283,1558,8542,5.3996088657105608,1.0156453715775755,1.779043473107941,2.9583441981747063,1127,1148,333
2023-03-12,AE,1535,8004,1566,8314,5.214332247557004,1.0201954397394137,2.0633474685605298,3.0371335504885986,1180,1158,332
2023-03-19,AE,1412,7845,1505,8077,5.5559490084985832,1.0658640226628893,1.0932254701323878,3.1602691218130303,962,912,491
2023-03-26,AE,1800,8878,1838,9406,4.9322222222222205,1.0211111111111113,1.3159104923774614,2.878000000000001,1270,1136,615
2023-04-02,AE,1711,8857,1761,9070,5.176504967855057,1.029222676797195,1.4685873374188796,3.1234950321449446,1208,1264,434
2023-04-09,AE,1710,9096,1871,9294,5.3192982456140347,1.0941520467836257,1.3375583348794107,3.2412280701754383,1128,1115,566
2023-04-16,AE,1679,8606,1720,8800,5.1256700416914835,1.0244192972007147,0.41230775547178145,3.1262060750446694,1054,912,726
2023-04-23,AE,1591,8447,1654,8604,5.3092394720301677,1.0395977372721559,0.56784598790962315,3.1362036455059714,1149,960,588
2023-04-30,AE,1679,8613,1748,8794,5.1298391899940432,1.0410958904109591,1.7935998326069342,3.1041691483025615,1168,1204,445
2023-05-07,AE,1754,8875,1815,9132,5.0598631698973779,1.0347776510832383,1.5076831047914794,3.2025655644241731,1157,1186,523
2023-05-14,AE,1594,8289,1643,8571,5.2001254705144309,1.0307402760351321,1.5064345611331129,3.0459222082810533,1202,1049,497
2023-05-21,AE,1849,9499,1901,9655,5.1373715521903733,1.0281233098972422,1.5150842637398172,3.1186046511627912,1403,1251,558
2023-05-28,AE,1562,8152,1602,8270,5.2189500640204862,1.0256081946222793,2.2686496535521434,2.9762483994878353,1099,1212,311
2023-06-04,AE,1675,8575,1768,8660,5.1194029850746245,1.0555223880597013,1.2557757778109504,2.7991044776119405,1173,1056,573
2023-06-11,AE,1658,8498,1697,8702,5.125452352231604,1.0235223160434259,1.8582450119389582,2.895235223160435,1157,1175,454
2023-06-18,AE,1962,9907,2114,10113,5.0494393476044834,1.0774719673802242,1.4471148741110793,3.3237512742099895,1278,1309,587
2023-06-25,AE,1407,7158,1436,7316,5.0874200426439229,1.0206112295664533,1.36925934730934,3.0216062544420761,898,890,481
2023-07-02,AE,1328,7079,1393,7223,5.330572289156625,1.04894578313253,1.4317006437640292,3.0278614457831328,905,882,420
2023-07-09,AE,1990,9447,2058,9610,4.7472361809045225,1.0341708542713568,2.1638120683012114,3.1776381909547746,1344,1523,396
2023-07-16,AE,1919,9341,1981,9685,4.8676393955184984,1.0323084940072957,1.5319417220542539,3.1776446065659196,1307,1287,569
2023-07-23,AE,1352,6963,1386,7090,5.1501479289940821,1.0251479289940832,0.62195442208628982,3.1259615384615378,911,751,545
2023-07-30,AE,1238,6267,1251,6439,5.0621970920840074,1.0105008077544428,1.3558249924940489,2.8176898222940219,837,758,450
2023-08-06,AE,1344,6644,1352,6712,4.9434523809523814,1.0059523809523812,1.080038069051138,3.0479166666666662,894,845,463
2023-08-13,AE,1386,6916,1429,7220,4.98989898989899,1.031024531024531,1.2877412279256717,3.0050505050505056,959,910,444
2023-08-20,AE,1263,6055,1321,6147,4.7941409342834538,1.0459224069675377,1.211527755496288,3.5083135391923985,843,825,397
2023-08-27,AE,1440,7643,1459,7866,5.3076388888888895,1.0131944444444445,1.3285810056527603,3.1310416666666661,1023,935,475
2023-09-03,AE,1990,10633,2114,10878,5.34321608040201,1.0623115577889448,0.83035497347701881,3.0448241206030149,1289,1153,763
2023-09-10,AE,2141,10418,2238,10548,4.8659504904250372,1.0453059318075666,0.89496976242338577,3.5350303596450257,1411,1279,815
2023-09-17,AE,1926,10202,2094,10484,5.296988577362411,1.0872274143302181,1.8788115400331296,2.8442886812045689,1249,1349,533
2023-09-24,AE,1639,8431,1686,8700,5.1439902379499687,1.0286760219646127,1.8267606318265164,3.086455155582672,1153,1154,459
