Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration
2023-01-01,AE,United_Arab_Emirates,Fashion_Beauty,67.23,-13.2,-4.62
2023-01-01,AE,United_Arab_Emirates,Fitness_Wearables,72.78,5.97,12.48
2023-01-01,AE,United_Arab_Emirates,Nutrition_Diets,74.4,14.84,23.46
2023-01-01,AU,Australia,Fashion_Beauty,58.06,-12.5,5.27
2023-01-01,AU,Australia,Fitness_Wearables,89.21,25.64,39.61
2023-01-01,AU,Australia,Nutrition_Diets,90.74,24.95,35.94
2023-01-01,BR,Brazil,Fashion_Beauty,51.29,-19.69,-4.13
2023-01-01,BR,Brazil,Fitness_Wearables,69.97,16.71,26.59
2023-01-01,BR,Brazil,Nutrition_Diets,36.6,-35.09,-32.78
2023-01-01,CA,Canada,Fashion_Beauty,61.19,-36.98,-42.57
2023-01-01,CA,Canada,Fitness_Wearables,90.99,8.62,0.54
2023-01-01,CA,Canada,Nutrition_Diets,83.35,4.66,-2.1
2023-01-01,CN,China,Fashion_Beauty,10.68,10.68,29.62
2023-01-01,CN,China,Fitness_Wearables,28.59,10.92,29.65
2023-01-01,CN,China,Nutrition_Diets,3.46,3.46,3.46
2023-01-01,DE,Germany,Fashion_Beauty,44.69,-30.58,-17.97
2023-01-01,DE,Germany,Fitness_Wearables,89.9,20.68,24.99
2023-01-01,DE,Germany,Nutrition_Diets,49.86,-6.78,8.38
2023-01-01,FR,France,Fashion_Beauty,28.18,-47.36,-42.26
2023-01-01,FR,France,Fitness_Wearables,65.68,-4.1,-6.66
2023-01-01,FR,France,Nutrition_Diets,39.24,-23.69,-19.68
2023-01-01,GB,United_Kingdom,Fashion_Beauty,48.95,-27.6,-16.81
2023-01-01,GB,United_Kingdom,Fitness_Wearables,90.17,19.54,20
2023-01-01,GB,United_Kingdom,Nutrition_Diets,88.31,25.89,33.03
2023-01-01,IN,India,Fashion_Beauty,53.33,-31.77,-32.41
2023-01-01,IN,India,Fitness_Wearables,80.1,-3.97,-3.34
2023-01-01,IN,India,Nutrition_Diets,74.45,-1.67,10.48
2023-01-01,JP,Japan,Fashion_Beauty,18.81,-69.1,-62.97
2023-01-01,JP,Japan,Fitness_Wearables,30.97,-26.21,-6.26
2023-01-01,JP,Japan,Nutrition_Diets,10.04,-26.76,-14.37
2023-01-01,KE,Kenya,Fashion_Beauty,92.31,39.57,45.84
2023-01-01,KE,Kenya,Fitness_Wearables,71.74,40.33,74.17
2023-01-01,KE,Kenya,Nutrition_Diets,75.96,24.78,37.33
2023-01-01,MX,Mexico,Fashion_Beauty,62.23,-22.92,-16.43
2023-01-01,MX,Mexico,Fitness_Wearables,81.83,9.57,9.19
2023-01-01,MX,Mexico,Nutrition_Diets,35.62,-37.54,-24.73
2023-01-01,NG,Nigeria,Fashion_Beauty,88.87,29.63,43.87
2023-01-01,NG,Nigeria,Fitness_Wearables,75.97,-5.21,5.46
2023-01-01,NG,Nigeria,Nutrition_Diets,79.44,29.09,51.21
2023-01-01,SG,Singapore,Fashion_Beauty,51.41,-22.15,-14.68
2023-01-01,SG,Singapore,Fitness_Wearables,70.75,1,0.26
2023-01-01,SG,Singapore,Nutrition_Diets,56.95,-6.49,11.35
2023-01-01,US,United_States,Fashion_Beauty,44.17,-45.42,-49.53
2023-01-01,US,United_States,Fitness_Wearables,71.76,-13.71,-27.67
2023-01-01,US,United_States,Nutrition_Diets,70.51,-5.99,-6.66
2023-01-01,ZA,South_Africa,Fashion_Beauty,69.08,9.25,23.57
2023-01-01,ZA,South_Africa,Fitness_Wearables,96.93,35.37,37.14
2023-01-01,ZA,South_Africa,Nutrition_Diets,100,43.39,48
2023-01-08,AE,United_Arab_Emirates,Fashion_Beauty,65.42,-1.81,11.39
2023-01-08,AE,United_Arab_Emirates,Fitness_Wearables,70.28,-2.5,-8.47
2023-01-08,AE,United_Arab_Emirates,Nutrition_Diets,69.17,-5.23,-20.07
2023-01-08,AU,Australia,Fashion_Beauty,58.19,0.13,12.63
2023-01-08,AU,Australia,Fitness_Wearables,87.26,-1.95,-27.59
2023-01-08,AU,Australia,Nutrition_Diets,87.02,-3.72,-28.67
2023-01-08,BR,Brazil,Fashion_Beauty,52.65,1.36,21.05
2023-01-08,BR,Brazil,Fitness_Wearables,72.67,2.7,-14.01
2023-01-08,BR,Brazil,Nutrition_Diets,37.66,1.06,36.15
2023-01-08,CA,Canada,Fashion_Beauty,61.08,-0.11,36.87
2023-01-08,CA,Canada,Fitness_Wearables,81.05,-9.94,-18.56
2023-01-08,CA,Canada,Nutrition_Diets,84.16,0.81,-3.85
2023-01-08,CN,China,Fashion_Beauty,12.92,2.24,-8.44
2023-01-08,CN,China,Fitness_Wearables,25.12,-3.47,-14.39
2023-01-08,CN,China,Nutrition_Diets,5.11,1.65,-1.81
2023-01-08,DE,Germany,Fashion_Beauty,44.36,-0.33,30.25
2023-01-08,DE,Germany,Fitness_Wearables,83.88,-6.02,-26.7
2023-01-08,DE,Germany,Nutrition_Diets,49.18,-0.68,6.1
2023-01-08,FR,France,Fashion_Beauty,31.05,2.87,50.23
2023-01-08,FR,France,Fitness_Wearables,63.78,-1.9,2.2
2023-01-08,FR,France,Nutrition_Diets,37.36,-1.88,21.81
2023-01-08,GB,United_Kingdom,Fashion_Beauty,50.82,1.87,29.47
2023-01-08,GB,United_Kingdom,Fitness_Wearables,81.37,-8.8,-28.34
2023-01-08,GB,United_Kingdom,Nutrition_Diets,86.01,-2.3,-28.19
2023-01-08,IN,India,Fashion_Beauty,54.06,0.73,32.5
2023-01-08,IN,India,Fitness_Wearables,76.87,-3.23,0.74
2023-01-08,IN,India,Nutrition_Diets,72.88,-1.57,0.1
2023-01-08,JP,Japan,Fashion_Beauty,19.4,0.59,69.69
2023-01-08,JP,Japan,Fitness_Wearables,29.31,-1.66,24.55
2023-01-08,JP,Japan,Nutrition_Diets,11.31,1.27,28.03
2023-01-08,KE,Kenya,Fashion_Beauty,89.53,-2.78,-42.35
2023-01-08,KE,Kenya,Fitness_Wearables,74.32,2.58,-37.75
2023-01-08,KE,Kenya,Nutrition_Diets,82.14,6.18,-18.6
2023-01-08,MX,Mexico,Fashion_Beauty,55.57,-6.66,16.26
2023-01-08,MX,Mexico,Fitness_Wearables,73.99,-7.84,-17.41
