Week_Start,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity,Demand_to_Hype_Ratio,Media_Volume_per_Source,Interest_per_Source
2023-01-01,United_Arab_Emirates,Fashion_Beauty,67.23,-13.2,-4.62,115.0,1.4011,4.34705,2.94595,7.29301,21.0569,0.618644,81.0,0.5795689655172415,1.4197530864197532,0.8300000000000001
2023-01-01,United_Arab_Emirates,Fitness_Wearables,72.78,5.97,12.48,52.0,-1.59814,3.93978,5.53792,9.4777,18.9,0.20829,44.0,1.3732075471698113,1.1818181818181819,1.654090909090909
2023-01-01,United_Arab_Emirates,Nutrition_Diets,74.4,14.84,23.46,845.0,1.08379,4.1815,3.09772,7.27922,20.7641,0.58376,329.0,0.08794326241134752,2.56838905775076,0.22613981762917934
2023-01-01,Australia,Fashion_Beauty,58.06,-12.5,5.27,172.0,-1.46247,2.71911,4.18158,6.90069,19.964,0.39438,144.0,0.335606936416185,1.1944444444444444,0.40319444444444447
2023-01-01,Australia,Fitness_Wearables,89.21,25.64,39.61,13.0,0.996642,3.45307,2.45642,5.90949,21.0787,0.929115,13.0,6.372142857142856,1.0,6.8623076923076916
2023-01-01,Australia,Nutrition_Diets,90.74,24.95,35.94,1625.0,-2.41649,3.0272,5.44368,8.47088,21.9714,0.491577,558.0,0.05580565805658056,2.912186379928315,0.16261648745519713
2023-01-01,Brazil,Fashion_Beauty,51.29,-19.69,-4.13,466.0,-0.12301,2.91368,3.0367,5.95038,23.5593,0.53661,170.0,0.1098286937901499,2.7411764705882353,0.30170588235294116
2023-01-01,Brazil,Fitness_Wearables,69.97,16.71,26.59,55.0,-1.45453,2.59636,4.05089,6.64724,20.6635,1.09382,48.0,1.2494642857142857,1.1458333333333333,1.4577083333333334
2023-01-01,Brazil,Nutrition_Diets,36.6,-35.09,-32.78,6166.0,-0.990738,3.04465,4.03539,7.08003,23.4536,0.52363,962.0,0.005934814334360305,6.409563409563409,0.03804573804573805
2023-01-01,Canada,Fashion_Beauty,61.19,-36.98,-42.57,237.0,-0.106303,3.05545,3.16176,6.21721,21.956,0.838443,166.0,0.25710084033613445,1.427710843373494,0.3686144578313253
